duration_ms,explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature_1,time_signature_3,time_signature_4,time_signature_5
278897,0,0.726,0.82,-3.187,1,0.0484,0.217,2.35e-06,0.0459,0.723,88.421,0.0,0.0,1.0,0.0
260093,0,0.538,0.978,-2.039,1,0.055,0.061,0.0,0.0873,0.699,107.516,0.0,0.0,1.0,0.0
216889,0,0.76,0.533,-10.741,1,0.0693,0.0251,0.00338,0.141,0.651,159.988,0.0,0.0,1.0,0.0
223480,0,0.867,0.833,-5.634,1,0.164,0.192,1.86e-05,0.0633,0.767,99.965,0.0,0.0,1.0,0.0
264679,0,0.539,0.56,-8.562,0,0.0476,0.163,0.0166,0.13,0.0534,173.957,0.0,0.0,1.0,0.0
252160,0,0.647,0.818,-5.173,1,0.0323,0.616,1.56e-06,0.365,0.674,132.511,0.0,0.0,1.0,0.0
242946,0,0.72,0.64,-7.577,1,0.0461,0.42,0.0,0.117,0.581,94.985,0.0,0.0,1.0,0.0
175173,0,0.535,0.716,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,0.0,0.0,1.0,0.0
378240,1,0.847,0.976,-5.969,0,0.0855,0.000591,0.566,0.175,0.423,125.001,0.0,0.0,1.0,0.0
248933,0,0.457,0.997,-4.992,0,0.0634,8.36e-06,0.899,0.138,0.53,110.021,0.0,0.0,1.0,0.0
362466,0,0.381,0.15,-18.925,1,0.0427,0.876,0.512,0.118,0.271,145.754,0.0,0.0,1.0,0.0
368010,0,0.772,0.437,-10.685,1,0.0516,0.45,0.559,0.129,0.191,119.993,0.0,0.0,1.0,0.0
325181,0,0.508,0.77,-5.659,1,0.0289,0.202,0.00866,0.0672,0.853,128.186,0.0,0.0,1.0,0.0
198751,0,0.799,0.353,-5.888,1,0.0344,0.931,0.000136,0.224,0.713,87.566,0.0,0.0,1.0,0.0
238546,0,0.442,0.532,-6.085,0,0.0352,0.0191,0.0,0.104,0.243,147.735,0.0,0.0,1.0,0.0
383500,0,0.892,0.579,-8.791,0,0.108,0.0241,0.821,0.0804,0.496,125.989,0.0,0.0,1.0,0.0
244706,0,0.445,0.744,-5.222,1,0.0326,0.242,0.0,0.135,0.494,168.273,0.0,0.0,1.0,0.0
220290,0,0.614,0.615,-6.7,0,0.0444,0.054,0.0,0.0921,0.374,95.942,0.0,0.0,1.0,0.0
305506,0,0.279,0.113,-24.969,0,0.0424,0.933,0.947,0.282,0.0367,70.441,0.0,1.0,0.0,0.0
134091,0,0.661,0.848,-4.4,1,0.0803,0.00762,0.00994,0.152,0.515,159.971,0.0,0.0,1.0,0.0
243789,0,0.598,0.865,-8.419,1,0.0441,0.00781,0.747,0.119,0.157,94.972,0.0,0.0,1.0,0.0
203493,0,0.469,0.206,-5.587,0,0.0677,0.912,0.0461,0.102,0.579,177.934,0.0,1.0,0.0,0.0
371333,0,0.463,0.601,-5.363,1,0.032,0.483,0.0,0.302,0.436,152.019,0.0,0.0,1.0,0.0
407053,0,0.796,0.892,-8.31,1,0.0333,0.00475,0.0187,0.0717,0.965,120.4,0.0,0.0,1.0,0.0
344680,0,0.538,0.586,-7.118,0,0.0266,0.772,0.00617,0.42,0.314,92.539,0.0,0.0,1.0,0.0
252186,0,0.788,0.709,-5.294,1,0.0415,0.578,0.0,0.2,0.881,92.34,0.0,0.0,1.0,0.0
307773,1,0.872,0.723,-5.968,1,0.247,0.0293,0.0,0.327,0.843,93.279,0.0,0.0,1.0,0.0
260590,0,0.572,0.541,-6.45,1,0.0245,0.759,0.0,0.111,0.266,87.01,0.0,0.0,1.0,0.0
274413,0,0.619,0.583,-7.039,1,0.0255,0.44,0.000504,0.371,0.383,136.142,0.0,0.0,1.0,0.0
